text_type;text
cdiNamePrefix;Inwentarz Rozwoju Mowy i Komunikacji
dateLabel;Data urodzenia dziecka
genderLabel;Płeć dziecka
genders;dziewczynka,chłopiec
startBtn;Start
noGender;Proszę wybrać płeć dziecka.
modalTitle;Uwaga!
sidebarInstr;Proszę zaznaczyć ‚tak’ lub ‚nie’.
firstPageSidebarInstr;Prosimy o cierpliwość. Uruchomienie formularza może zająć kilka sekund.
choiceNames;nie, tak
thanksMsgText;Bardzo dziękujemy za wypełnienie kwestionariusza! Więcej informacji znajdą Państwo w zakładce „Wiedza”
thanksMsgTitle;Koniec!
alreadyFilled;Ten inwentarz został już przez Państwa wypełniony.
fillerLabel;Kim Państwo są dla dziecka?
fillers;mama,tata,babcia,dziadek,niania,nauczyciel(-ka),inna odpowiedź (proszę wpisać):
noFiller;Proszę wybrać osobę, która wypełnia kwestionariusz
error;Nastąpiło przerwanie połączenia. Proszę odświeżyć i spróbować ponownie. Jeśli to się powtarza, prosimy o zrobienie screena tego ekranu i wysłanie na maila multilada@psych.uw.edu.pl.
refresh;Odśwież
commentLabel;Uwagi
endText;Proszę nacisnąć ‚Zakończ’, aby zakończyć.
endBtn;Zakończ
additionalEndMessageFromDatabaseText;Poniżej znajdą Państwo voucher do Empika. Prosimy pamiętac o skopiowaniu go przed zamknięciem lub odświeżeniem strony. <br><br>
